ime,drz,zvrst,leto,status
Fire,Italy,Heavy Metal,1982,Split-up
G.L.A.S.,Italy,Heavy Metal,1985,Split-up
Cabrero,Brazil,Death/Thrash Metal,2003,Active
Sepelio,Chile,Thrash/Black Metal,2002,Split-up
Mundo Macabro,Brazil,Black Metal/Grindcore,2003,Split-up
Grond,Sweden,Black Metal,2002,On hold
Gerion,Guatemala,Heavy Metal,2002,Split-up
Fuse,Germany,"Hard Rock (early), Thrash Metal (later)",1994,Split-up
Espectro,Honduras,Death Metal,2004,Split-up
Catacumba,Brazil,Black Metal,2003,Active
Arrows,Sweden,Heavy Metal,N/A,Split-up
Rising Hour,United States,Black Metal,2004,Split-up
Deadsoul,Colombia,Melodic/Progressive Death Metal,2000,Unknown
Crotalus,United States,Progressive Thrash Metal,1999,Active
Narmoon,Mexico,Folk/Black Metal,2000,Unknown
Fanatic,United States,Heavy/Groove Metal,1999,Active
Tyr,Finland,Black Metal,2005,Split-up
Wardagger,New Zealand,Sludge/Doom Metal,2003,Split-up
Hater,Poland,Thrash Metal,1999,Split-up
Creperum,Norway,Black Metal,2003,Active
Cold Eternity,Norway,Black Metal,2004,Split-up
Malkavian Moon,Finland,Black Metal,2003,Unknown
Fueled by Fire,United States,Thrash Metal,2002,Active
Under Eden,United States,Death/Thrash Metal,2000,Active
Nargoth,United States,Black Metal,1998,Changed name
Pathogenic,United States,"Black/Death Metal (early), Groove Metal (later)",2004,Active
Paul Carcass,Canada,Death/Black Metal,2004,Unknown
Athame,Hungary,Black Metal,2001,Active
Deadly Creation,Germany,Death Metal,2002,Split-up
Transmission,Poland,Industrial Gothic Metal,2001,Active
Demacretia,South Africa,Industrial Death Metal,1994,Active
Apis,Poland,Black Metal,1993,Split-up
Angelcide,United States,"Black Metal/Ambient (early), Blackened Death Metal (later)",2003,Active
My Shadow,Romania,"Doom/Gothic Metal (early), Melodic Black Metal (later)",2004,Split-up
Amorpha,United Kingdom,Power/Thrash Metal,2002,Split-up
Under-Construction,Turkey,Black/Death Metal,2002,Active
Stormgarde,Germany,Melodic Gothic Metal/Rock,2000,Active
Arcanum,Macedonia (FYROM),"Melodic Power/Black Metal (early), Melodic Death Metal (later)",2003,Changed name
Arcatharis,United States,Black Metal,2003,Split-up
Sacro Fuego,Argentina,Thrash Metal,1998,Split-up
Archaic Argot,Philippines,Raw Black/Death Metal,2002,Active
Evil's Tears,Hungary,Gothic Death/Doom Metal,2000,Active
ÃrÃ¶m,Hungary,Dark Ambient/Gothic/Doom Metal,1998,Active
Armageddon,Serbia,Progressive/Symphonic Metal,1987,Active
Kuona,Finland,Black Metal,2001,Unknown
Conspectu Mortis,Italy,Death/Black Metal,1994,Split-up
VÃ­bora,Spain,Thrash Metal,1998,Active
Dammerung,Ukraine,Black Metal,2001,Active
Hydra,Italy,Melodic Heavy Metal,1982,Split-up
Los Pirates,Italy,Heavy Metal,1999,Unknown
Hot Pets,Italy,Heavy Metal/Hard Rock,1983,Split-up
Vena Valley,Poland,"Gothic/Progressive Metal (early), Gothic Rock (later)",1998,Active
Nemus,Italy,Thrash Metal,1995,Split-up
Hell's,Italy,Power/Heavy Metal,1985,Split-up
Hurtful Witch,Italy,Heavy Metal,1985,Split-up
Invocat Mortis,Nicaragua,Raw Black Metal,2005,Split-up
Vortex,Nicaragua,Power Metal,2002,Active
Battlechrist,Finland,Epic Heavy Metal,2003,Split-up
DeadSlave,Chile,Heavy Metal,2002,Split-up
Oxus,Mexico,Thrash/Death Metal,2001,Active
Fuckez-Vous,Netherlands,Black/Death Metal,2002,Active
Vinagron,Mexico,Death Metal/Grindcore,1999,Active
Vomit Spawn,United States,Death Metal/Grindcore,1992,On hold
Morbus Gravis,Switzerland,Melodic Death Metal/Metalcore,N/A,Split-up
Demolish,Brazil,Thrash Metal,2004,Split-up
Sorcerer,Chile,Death/Thrash Metal,1995,Unknown
Dry Rot,United States,Death Metal,N/A,On hold
Mouthful of Flies,United Kingdom,Heavy Metal,2001,Active
Fright,Colombia,Black/Thrash Metal,2000,Unknown
Sickleave,Sweden,Thrash Metal,N/A,Unknown
Your Envy,Canada,Heavy Metal,1996,Active
Phasslayne,United Kingdom,NWOBHM,1982,Active
Pontius Pilate,United States,Black Metal,1998,Split-up
Carrion,Denmark,Melodic Black Metal,2004,Unknown
Soul Vomit,Pakistan,"Melodic Death/Thrash Metal (early), Heavy/Thrash Metal (later)",2002,Split-up
Gravedom,Bahrain,Black Metal,2004,Split-up
Agent Omega,United States,Symphonic Black Metal/Acoustic,N/A,Unknown
Trinity Test,United States,Progressive/Thrash/Death Metal,N/A,Active
Hypnosis,United Kingdom,Heavy Metal,1993,Active
Porn,United States,Psychedelic Stoner/Sludge Metal,1998,Active
Spawn of the Matriarch,Tajikistan,Black/Doom Metal,N/A,Active
Mindsnare,Australia,"Hardcore, Groove/Thrash Metal",1995,Active
The Visions of Burning Saints,United States,Black Metal,N/A,Unknown
Trepination,United States,Death Metal,N/A,Unknown
Yogge Sothothe,United States,Technical Death Metal,N/A,Split-up
Bauopfer,Brazil,Black Metal,2000,Unknown
Bleeding Organs,Canada,Brutal Death Metal,2004,Unknown
Kyoji Yamamoto,Japan,Heavy Metal/Hard Rock/Shred,1979,Active
Necrodaemon,Poland,Black/Death Metal with Ambient influences,2005,Active
General Winter,Finland,Death Metal,2001,Split-up
Occurrence,Germany,Melodic Heavy/Thrash Metal,2003,Split-up
Oceana,Italy,Gothic/Doom/Death Metal,1994,Split-up
In Deum Maledicus,Italy,Black Metal,1994,Split-up
FÃºria Negra,Brazil,Black Metal,2003,Unknown
Xystenz,France,Thrash Metal,2003,Active
Ultimate Massacre,Brazil,Brutal Death Metal,1993,Active
Antim Grahan,Nepal,"Symphonic Black Metal (early), Black/Death Metal/Grindcore (later)",2004,Active
PiraÃ±a,Mexico,Thrash Metal,2003,Active
Evil Winter Forest Screams,Austria,Black Metal,2003,Unknown
Woden,France,Viking/Death Metal,1998,Active
Executioner,Italy,Thrash Metal,2004,Split-up
Radical Corps,Indonesia,Thrash/Death Metal,1992,Active
Blood Tsunami,Norway,Thrash Metal,2004,Active
Burn the Innocent,United States,Death/Black Metal,N/A,Active
Burning Times,Belarus,Folk Black Metal,1998,Active
Iron Mould,Italy,Heavy Metal,N/A,Split-up
Jena,Italy,Speed Metal,1983,Split-up
Szatan,Belgium,Black Metal,N/A,Split-up
Haste,Italy,Heavy Metal,N/A,Split-up
Dysuria,Belgium,Doom/Death Metal,N/A,Split-up
Grimlair,France,Black Metal,2003,Active
Aghast,United States,Death Metal,2004,On hold
Battlecry,United States,Heavy Metal,2004,Unknown
Aghast,United Kingdom,Progressive Death Metal,2006,Active
Light?,Russia,Progressive Doom/Death Metal,2002,Active
Blackage,Italy,"Thrash Metal (early), Crossover (later)",1994,Split-up
Gore Head,United States,Death Metal/Grindcore,N/A,Unknown
Ahnkou,United States,Black/Melodic Death Metal,2004,Unknown
Sons of Jonathas,Belgium,Death/Thrash Metal,N/A,Active
When Day Descends,Australia,Atmospheric Progressive Rock/Metal,2001,Active
Age of Thor,France,Pagan Black Metal,1999,Active
Decayed Faith,United States,Melodic Black/Death Metal,2004,Split-up
Gudgen,United States,Heavy Metal,1993,Active
Morpheus,United States,Death Metal,1990,Changed name
Bandanos,Brazil,Thrash Metal/Crossover,2002,Active
King's Ransom,United States,Heavy Metal,1989,Split-up
Xang,France,Progressive Metal,1995,Unknown
Cookie Mongoloid,United States,Speed/Thrash Metal,2002,Active
Nuctemeron,Norway,Thrash Metal,1996,Unknown
Mistery,Malaysia,Black Metal,1994,Split-up
Stigma Diabolicum,Norway,Black Metal,1989,Changed name
Funeral Howl,Australia,Black Metal,2005,Split-up
Ghoul,United States,Thrash Metal,1998,Active
In Silence,Norway,Black/Doom Metal,1992,Split-up
Diamond Dust,France,Symphonic Power/Speed Metal,2001,Split-up
Malafide,United States,Death Metal,N/A,Unknown
DetsÃ¶rgsekÃ¤lf,Canada,Black Metal,2004,Split-up
Incursus,United States,Raw Black Metal,2001,Split-up
Wendigo,Hungary,Progressive Metal,2003,Active
On Paths of Torment,United States,Melodic Death Metal,2005,Changed name
Undead,Bolivia,Death Metal,2000,Active
Inmitten des Waldes,Brazil,Black Metal,2001,Changed name
Fortress,United States,Heavy Metal,1980,Split-up
Betrayel,United States,Thrash Metal,1986,Split-up
Thunderfist,United States,Heavy Metal,1997,Active
Dreamlore,United States,Progressive Metal,N/A,Split-up
Rest in Pain,Italy,Thrash/Speed Metal,1990,Split-up
Tool Silence,Italy,Epic/Power Metal,1985,Active
Defueld,Sweden,"Thrash/Heavy Metal (early), Melodic Thrash Metal/Metalcore (later)",2003,Active
New Millennium's End,United States,Melodic Black Metal,1994,Split-up
Re-Creation,United States,Death/Thrash Metal,1996,Active
Atrocity,Sweden,Thrash Metal,1988,Changed name
Gravity,Sweden,Thrash Metal,1987,Split-up
Gallow,Sweden,Thrash Metal,1999,Split-up
Mythistory,Sweden,Thrash Metal,1999,Split-up
Rise and Shine,Sweden,Doom Metal/Psychedelic Hard Rock,1993,Active
Christmess,Brazil,Heavy Metal,2003,Active
Lobotomicon,Czech Republic,Death/Black/Thrash Metal,1998,Split-up
Terracuda,United States,Heavy Metal,1983,Changed name
Blizkrig,Poland,Black Metal,2000,Split-up
Parricide,Czech Republic,Death Metal,1992,Split-up
Unearthed Corpse,United States,Brutal Death Metal/Grindcore,N/A,Active
Unlife,Canada,Experimental Doom Metal/Ambient,N/A,Split-up
Irritate,Finland,Death Metal with Groove influences,1998,Split-up
NIB,Italy,Heavy Metal,1983,Active
Odds,Italy,Heavy Metal/Hard Rock,N/A,Split-up
WSR,Greece,Thrash/Death Metal,2004,Split-up
Visionaire,Romania,Gothic Metal,2000,Changed name
Aiwass,United States,Melodic Black Metal/Metalcore,2003,Unknown
Infernal Nature,Israel,Black Metal,2003,Active
Vespero,Italy,Melodic Death Metal,2002,Split-up
Nordschrei,Germany,Black Metal,2004,Split-up
Victim Yield,Macedonia (FYROM),Technical Death/Thrash Metal,2004,Split-up
Arsix,Peru,Heavy Metal,1992,Split-up
Gorepoflesh,Nicaragua,Brutal Death Metal/Grindcore,2003,Active
Menschentod,Germany,Black Metal,2002,Active
The Ladder,Portugal,Metalcore,2004,Split-up
Dark Forest,Canada,"Pagan/Viking Black Metal (early), Epic Black Metal (later)",2003,Active
Evermoore,Sweden,Power Metal,2002,Changed name
Lithany,Sweden,Progressive/Stoner Metal,2000,Split-up
Curse,United States,Black Metal,1993,Split-up
Vigalante,Norway,Thrash Metal,1988,Split-up
Requiem,Norway,Death Metal,1989,Changed name
Smear,Austria,Black Metal,2003,Split-up
Vestigium Dei,Brazil,Thrash Metal,2004,Active
Embryonic Cryptopathia,United States,Death Metal/Goregrind,2003,Active
The Blinding Light,United States,Metalcore/Sludge Metal,N/A,Unknown
Dirty Lust,Spain,Stoner/Doom Metal,1995,Split-up
Deity,United States,Death Metal,1992,Active
Fire Blade,Brazil,Heavy/Power Metal,N/A,Active
Februari 93,Sweden,Folk Metal,1994,Unknown
Ferra Saeva,Germany,Power Metal,2001,Unknown
Xess,Lithuania,"Gothic/Darkwave (early), Industrial/Electronic Gothic Metal (later)",2001,Active
Broken Hearted,Italy,Gothic Metal,2002,Split-up
Dark Serpent,Israel,Thrash Metal,1997,Active
MayDie,Italy,Melodic Progressive Death Metal,2004,Changed name
Lestat,Italy,Melodic Death Metal,2002,Split-up
Humungus,France,"Black Metal, RAC",N/A,Active
Indignation,Australia,Death Metal,1999,Unknown
Labyrinthus Noctis,Italy,Gothic/Doom Metal,2002,Active
Pestiferous,Finland,Black Metal,1998,Active
Trans Am,Germany,Heavy Metal/Hard Rock,1985,Split-up
ÃlÃ¼m DÄ±ÅÄ±,Turkey,Death Metal/Grindcore,1997,Split-up
Animosity,United Kingdom,"Death Metal/Grindcore, Metalcore",1997,Changed name
Dirge,France,"Industrial Metal (early), Atmospheric Sludge Metal (later)",1994,Active
Zero Kelvin,Italy,Power Metal with Death Metal influences,1998,Active
Sombre PrÃ©sage,France,"Black Metal, Dark Ambient/Drone",2005,Active
Rat Attack,United States,Heavy Metal,1983,Split-up
Warmblood,Italy,Death Metal,2002,Active
Culto Notturno,Italy,Black Metal,1994,Split-up
Morbusdown,Germany,Thrash Metal/Metalcore,1995,Active
Wishmaster,Italy,Power/Thrash Metal,2003,Active
Akashah,United States,Black Metal,2001,Active
Agonizer,Italy,Death Metal,N/A,Split-up
Necrolatry,Ukraine,Black Metal,2004,Active
Profanes,Brazil,Progressive Gothic/Folk Metal,2004,Unknown
Twisted Silence,Finland,"Heavy Metal, Hard Rock",2002,Active
Corrosive,Hungary,Death Metal,1997,Split-up
Violent Power,Norway,Heavy Metal,1989,Unknown
Rozea Haven,Canada,Melodic Death Metal with Black Metal Influences,N/A,Split-up
Hiverr,Canada,Black/Doom Metal,2005,Unknown
Darkther,Venezuela,Melodic Thrash/Death Metal,2002,Active
Unauthorized,Colombia,Melodic Death Metal,2002,Active
Heresy,Sweden,Death Metal,N/A,Split-up
Hear 'n Aid,International,Heavy Metal,1985,Split-up
Obsin,Brazil,Heavy Metal,2004,Active
Inert,United Kingdom,Death Metal/Grindcore,1996,Split-up
Infektus,Brazil,Death Metal,2003,Active
Epoch of Sin,Greece,Death Metal,N/A,Split-up
Opertum,Greece,Progressive Death Metal,1996,Split-up
Ultrahead,United States,Heavy Metal,1994,Split-up
Sanitarium,Greece,Black Metal,N/A,Split-up
Darren Housholder,United States,Heavy Metal/Shred,1992,Split-up
Revengeance,United States,Power/Speed Metal,2002,Split-up
Fuckfest,United States,Brutal Death Metal,2001,Active
Bound by Blasphemy,United States,Death Metal,2005,Active
Ungoliant,Sweden,Black Metal,2002,Changed name
Coroner Necrophiliac,United States,Death Metal,1991,Split-up
The Hostage Heart,United States,Thrash Metal/Metalcore,2002,Split-up
Scepsis,Germany,Death/Thrash Metal,2003,Active
Necroid,Germany,Death Metal,2000,Active
Fulci,United States,Drone/Doom Metal,N/A,Active
Morphosys,Germany,Death/Thrash Metal,2002,Active
Downstroy,Serbia,Thrash Metal/Hardcore,2004,Active
Reizgas,Germany,Thrash Metal/Metalcore,1996,Active
Anacrisis,Australia,Progressive/Heavy Metal,2004,Unknown
Blackened Soul,United Kingdom,Thrash Metal,2001,Split-up
Void Essence,Italy,Brutal Death Metal,2002,Changed name
Pylaghian,Argentina,Heavy/Power/Thrash Metal,2005,Unknown
Hollowhead,Sweden,Thrash Metal,2000,Active
Dynamic,Sweden,Neoclassical Melodic Power Metal,N/A,Unknown
Valgrind,Finland,Viking Metal,2000,Unknown
Engel,Spain,Heavy Metal,2002,Split-up
Antidepressive Delivery,Norway,Progressive Metal,2002,Split-up
Sorkkarauta,Finland,Heavy Metal,2001,Unknown
Engraved,Poland,Brutal Death Metal,1992,Split-up
Hellish Crossfire,Germany,Thrash Metal,2002,Active
Caliginosity,United States,Black Metal,2003,Active
Carpathia,Canada,Melodic Death Metal,2003,Unknown
Soul Sailor,Spain,Power/Progressive Metal,1998,Unknown
Magnificat,International,Black/Thrash Metal,2003,Split-up
Dakrya,Greece,Avant-garde/Gothic Metal,2004,Active
Morbid Sin,United States,Power/Thrash Metal,1985,Active
Barvorum,Hungary,"Black Metal (early), Death Metal (later)",2002,Split-up
Carthaun,Germany,Black Metal,2000,Active
KeyDragon,United States,Epic Gothic Metal,1998,Active
Atalaya,Spain,Heavy Metal,2001,Active
Phaeton,Poland,Death Metal,2000,Active
Saxo,Malaysia,Thrash/Speed Metal,1987,Split-up
Nakacc,Peru,Thrash Metal,2002,Active
Heavy Water,Poland,Heavy/Speed Metal,2003,On hold
Devour,United States,Death Metal,1995,Active
Artrach,Belgium,Progressive Heavy/Power Metal,2000,Split-up
Teratosis,United States,Death Metal,1991,Split-up
TrasquilÃ³n,Spain,Thrash/Death Metal,1998,Split-up
Morbus Mortifer,Poland,Death/Black Metal,1999,Active
Dangerous Force,Germany,Thrash Metal,1996,Split-up
Tipper Gor,United States,Thrash Metal,N/A,Split-up
Tears for the Dead Gods,Canada,Progressive Metal,1999,Unknown
Rites,United States,Black/Thrash Metal,N/A,Active
Spellcraft,United States,Black Metal,N/A,Split-up
SjÃ¤lvmord,Sweden,Black metal,2004,Split-up
S.D.I.D.,Denmark,Avant-garde Death Metal,1999,Split-up
6th Awakening,Sweden,Melodic Death Metal,2001,Active
Sentencia,Peru,Heavy Metal,1987,Active
Sejant,United States,Progressive/Death Metal,2003,Unknown
Enthrall,United States,Death Metal,2001,Unknown
Flesh Removal,United States,Death Metal,N/A,Unknown
Belthil,Poland,Black Metal,1992,Changed name
Rites to Sacrifice,United States,Thrash/Death Metal,2004,Active
MyGrain,Finland,Melodic Death Metal,2004,Split-up
Ether,Canada,Depressive Black Metal,2004,Active
Monastery,Poland,Thrash Metal,1987,On hold
Beneath the Frozen Soil,Sweden,Death/Doom Metal,2004,Unknown
Desiderium,Norway,Gothic/Doom Metal,1997,Split-up
Elivagar,Italy,Melodic Power Metal,2004,On hold
Demogorgon,Sweden,Black Metal,2003,On hold
Corpsepain,Germany,Melodic Black/Death Metal,2003,Active
Sepulcral,France,Death Metal,2002,Split-up
Fratricide,Canada,Crossover,1986,Split-up
Bomb Scare Crew,France,Thrash Metal/Metalcore,2001,Active
Circle of Force,United States,Thrash/Speed Metal,1991,Active
Pathosray,Italy,Progressive Metal,2002,On hold
Praxis,Spain,Heavy Metal,1982,Split-up
Osiris,Spain,Heavy Metal,1979,Split-up
Oro,Spain,Heavy Metal,1982,Split-up
Endtyme Inc.,Germany,Dark Progressive Metal,2003,Split-up
Leather Apron,Brazil,Heavy Metal,2001,On hold
Before Silence,Belgium,Progressive Power Metal,2003,Active
Blackness,United States,Thrash Metal,N/A,Split-up
Decadence,Norway,Thrash Metal,1987,Split-up
Everflow,Belgium,Heavy Metal,1999,Changed name
Silent Secrets,Belgium,Atmospheric Melodic Black Metal,2002,Split-up
Abominable Putridity,Russia,Brutal Death Metal,2003,Active
Dead Winds,Sweden,Black  Metal,N/A,Split-up
AntharÃ¨s,Switzerland,Melodic Thrash Metal,2001,Active
Beleth,Germany,Black Metal,2004,Split-up
Zaebos,Germany,Melodic Black Metal,2004,Split-up
Kaizer,Japan,Melodic Power Metal,N/A,Active
SA-Sanctuary,United States,Thrash Metal,1998,Split-up
Gas,Denmark,Funeral Doom Metal,2004,Split-up
Shadows Abyss,United States,Atmospheric Black Metal,2005,Split-up
Crimson Nightfall,United States,Black Metal,2003,Active
Dark Eden,Brazil,Gothic/Doom Metal,1998,Active
Darksouls,Canada,Black Metal,1996,Changed name
The Reviled,United States,Death/Thrash Metal,N/A,Split-up
Misericordiam,United States,"Deathcore/Grindcore (early), Brutal Death Metal (later)",2004,Split-up
Necrofilia,Mexico,Melodic Death/Thrash Metal,2001,Changed name
Decay the Astral Self,United States,Death/Sludge Metal,2004,Split-up
Parasitic,United States,Brutal Death Metal,2004,Active
Excruciating Torment,United States,Brutal Death Metal,2003,Split-up
Absolute Zero,United Kingdom,Melodic Heavy/Groove Metal,2002,Active
Mictlan,Mexico,Folk/Death Metal,1991,Active
Moonlight Glimmer,Germany,Death Metal,N/A,Active
Rotting Corpse,Guatemala,Death Metal,1992,Active
Belligerency,United States,Melodic Death Metal,2005,Active
